epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.9716513156890869,0.9675370454788208,0.9693013429641724,0.0829024687409401,NA,NA,NA,NA
1,0.9716814160346985,0.9685956239700317,0.970007061958313,0.08345592767000198,NA,NA,NA,NA
2,0.9730687737464905,0.968948483467102,0.9707127809524536,0.0823809877038002,NA,NA,NA,NA
3,0.9691817164421082,0.9654198884963989,0.9682427644729614,0.08312226831912994,NA,NA,NA,NA
4,0.9716613292694092,0.9678899049758911,0.970007061958313,0.08332467824220657,NA,NA,NA,NA
0,0.0,0.0,0.4285714328289032,1.57955801486969,NA,NA,NA,NA
1,0.5833333134651184,0.125,0.8214285969734192,0.9982910752296448,NA,NA,NA,NA
2,1.0,0.5,1.0,0.6708990931510925,NA,NA,NA,NA
3,1.0,0.7857142686843872,1.0,0.48244190216064453,NA,NA,NA,NA
4,1.0,0.9107142686843872,1.0,0.36775416135787964,NA,NA,NA,NA
0,0.9727921485900879,0.8627373576164246,0.9311708807945251,0.2580476701259613,NA,NA,NA,NA
1,0.9666798710823059,0.9640031456947327,0.965585470199585,0.09430970996618271,NA,NA,NA,NA
2,0.9698412418365479,0.9667721390724182,0.9695411324501038,0.09013180434703827,NA,NA,NA,NA
3,0.9694565534591675,0.9667721390724182,0.9679588675498962,0.08906785398721695,NA,NA,NA,NA
4,0.9702616930007935,0.9679588675498962,0.9695411324501038,0.0892002061009407,NA,NA,NA,NA
0,0.9748992919921875,0.904542863368988,0.9516963958740234,0.18964572250843048,NA,NA,NA,NA
1,0.9705712795257568,0.9672225713729858,0.9689476490020752,0.08937359601259232,NA,NA,NA,NA
2,0.9694612622261047,0.9675100445747375,0.967797577381134,0.08599935472011566,NA,NA,NA,NA
3,0.9717416167259216,0.9689476490020752,0.9700977802276611,0.08537607640028,NA,NA,NA,NA
4,0.973167896270752,0.9698102474212646,0.9709603190422058,0.08472919464111328,NA,NA,NA,NA
0,0.9711316227912903,0.9672225713729858,0.9686601758003235,0.08428958803415298,NA,NA,NA,NA
1,0.969164252281189,0.9669350385665894,0.9672225713729858,0.08531130105257034,NA,NA,NA,NA
2,0.9691197872161865,0.9654974341392517,0.967797577381134,0.08607573062181473,NA,NA,NA,NA
3,0.9720380306243896,0.9695227146148682,0.9712478518486023,0.08472945541143417,NA,NA,NA,NA
4,0.9720380306243896,0.9695227146148682,0.9706727862358093,0.0835697278380394,NA,NA,NA,NA
0,0.9682996869087219,0.9660724401473999,0.967797577381134,0.08429398387670517,NA,NA,NA,NA
1,0.967686116695404,0.9643473029136658,0.9669350385665894,0.0848311111330986,NA,NA,NA,NA
2,0.9697319269180298,0.9672225713729858,0.9675100445747375,0.08426455408334732,NA,NA,NA,NA
3,0.9702827334403992,0.9669350385665894,0.968372642993927,0.08399149775505066,NA,NA,NA,NA
4,0.9731988310813904,0.9709603190422058,0.9718228578567505,0.08201123774051666,NA,NA,NA,NA
0,0.9720380306243896,0.9695227146148682,0.9709603190422058,0.08310160785913467,NA,NA,NA,NA
1,0.972029983997345,0.9692351818084717,0.9698102474212646,0.0844990462064743,NA,NA,NA,NA
2,0.9709017276763916,0.9689476490020752,0.9703852534294128,0.08304501324892044,NA,NA,NA,NA
3,0.9709017276763916,0.9689476490020752,0.9700977802276611,0.08385158330202103,NA,NA,NA,NA
4,0.9714533090591431,0.9686601758003235,0.9698102474212646,0.08229690045118332,NA,NA,NA,NA
0,0.9700115323066711,0.9672225713729858,0.9680851101875305,0.0824824869632721,NA,NA,NA,NA
1,0.9691731333732605,0.9672225713729858,0.967797577381134,0.08441554009914398,NA,NA,NA,NA
2,0.9714615345001221,0.9689476490020752,0.9695227146148682,0.08404961973428726,NA,NA,NA,NA
3,0.9717416167259216,0.9689476490020752,0.9706727862358093,0.08355288952589035,NA,NA,NA,NA
4,0.9705712795257568,0.9672225713729858,0.9689476490020752,0.08367034792900085,NA,NA,NA,NA
0,0.970605194568634,0.968372642993927,0.9700977802276611,0.0837177261710167,NA,NA,NA,NA
1,0.970605194568634,0.968372642993927,0.9695227146148682,0.08191060274839401,NA,NA,NA,NA
2,0.9685788154602051,0.9660724401473999,0.9672225713729858,0.0829242467880249,NA,NA,NA,NA
3,0.9703084230422974,0.967797577381134,0.9692351818084717,0.08254073560237885,NA,NA,NA,NA
4,0.972582995891571,0.9689476490020752,0.9700977802276611,0.08259838074445724,NA,NA,NA,NA
0,0.9711732268333435,0.9686601758003235,0.9703852534294128,0.0832577794790268,NA,NA,NA,NA
1,0.9708681702613831,0.967797577381134,0.9692351818084717,0.08310282975435257,NA,NA,NA,NA
2,0.969740629196167,0.9675100445747375,0.968372642993927,0.08304426074028015,NA,NA,NA,NA
3,0.9731756448745728,0.9700977802276611,0.9715353846549988,0.08174615353345871,NA,NA,NA,NA
4,0.9725987911224365,0.9695227146148682,0.972110390663147,0.08145125210285187,NA,NA,NA,NA
0,0.9697144627571106,0.9666475057601929,0.9675100445747375,0.0839209035038948,NA,NA,NA,NA
1,0.9700028896331787,0.9669350385665894,0.9695227146148682,0.08152082562446594,NA,NA,NA,NA
2,0.970028817653656,0.967797577381134,0.9686601758003235,0.08275998383760452,NA,NA,NA,NA
