1,0,38,0,0,0
2,0,0,41,0,4
3,0,0,0,31,0
4,2,0,0,0,35
0,48,0,0,0,7
1,0,38,0,0,0
2,0,0,41,0,4
3,0,0,0,31,0
4,0,0,0,0,37
0,48,0,0,0,7
1,0,38,0,0,0
2,0,0,41,0,4
3,0,0,0,31,0
4,1,0,0,0,36
0,48,0,0,0,7
1,0,38,0,0,0
2,0,0,41,0,4
3,0,0,0,31,0
4,1,0,0,0,36
0,118,0,1,0,8
1,0,113,0,0,0
2,1,0,99,0,1
3,0,0,0,115,0
4,8,0,3,0,101
0,118,0,1,0,8
1,0,113,0,0,0
2,0,0,100,0,1
3,0,0,0,115,0
4,8,0,4,0,100
0,118,0,1,0,8
1,0,113,0,0,0
2,0,0,100,0,1
3,0,0,0,115,0
4,9,0,4,0,99
0,117,0,1,0,9
1,0,113,0,0,0
2,0,0,100,0,1
3,0,0,0,115,0
4,7,0,4,0,101
0,118,0,1,0,8
1,0,113,0,0,0
2,1,0,99,0,1
3,0,0,0,115,0
4,8,0,3,0,101
0,120,0,1,0,6
1,0,113,0,0,0
2,1,0,99,0,1
3,0,0,0,115,0
4,10,0,4,0,98
0,115,0,1,0,11
1,0,113,0,0,0
2,0,0,100,0,1
3,0,0,0,115,0
4,6,0,4,0,102
0,120,0,1,0,6
1,0,113,0,0,0
2,1,0,99,0,1
3,0,0,0,115,0
4,9,0,3,0,100
0,121,0,1,0,5
1,0,113,0,0,0
2,0,0,100,0,1
3,0,0,0,115,0
4,10,0,4,0,98
0,118,0,1,0,8
1,0,113,0,0,0
2,0,0,100,0,1
3,0,0,0,115,0
4,9,0,4,0,99
0,126,0,1,0,10
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,7,0,1,0,137
0,126,0,1,0,10
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,7,0,2,0,136
0,130,0,1,0,6
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,8,0,1,0,136
0,126,0,1,0,10
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,7,0,2,0,136
0,130,0,1,0,6
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,9,0,2,0,134
0,130,0,1,0,6
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,9,0,2,0,134
0,130,0,1,0,6
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,9,0,1,0,135
0,131,0,1,0,5
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,10,0,2,0,133
0,131,0,1,0,5
1,0,113,1,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,10,0,2,0,133
0,130,0,1,0,6
1,0,114,0,0,0
2,0,0,104,0,3
3,0,0,0,127,0
4,7,0,2,0,136
0,132,0,0,0,8
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,11,0,2,0,116
0,130,0,1,0,9
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,10,1,2,0,116
0,130,0,1,0,9
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,9,0,2,0,118
0,129,0,1,0,10
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,8,0,2,0,119
0,129,0,2,0,9
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,8,1,2,0,118
0,130,0,1,0,9
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,9,1,2,0,117
0,129,0,1,0,10
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,8,1,2,0,118
0,130,0,2,0,8
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,10,1,3,0,115
0,130,0,2,0,8
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,9,1,2,0,117
0,129,0,1,0,10
1,0,118,0,0,0
2,0,0,154,0,3
3,0,0,0,129,0
4,9,1,2,0,117
0,93,0,3,0,9
1,0,103,1,0,0
2,0,0,94,0,2
3,0,0,0,96,0
4,7,0,3,0,93
0,91,0,3,0,11
1,0,103,1,0,0
2,0,0,93,0,3
3,0,0,0,96,0
4,7,0,3,0,93
0,93,0,3,0,9
1,0,103,1,0,0
2,0,0,94,0,2
